ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
43,"NBA官方公布了本赛季常规赛第一周东西部最佳球员。

老鹰球星特雷-杨和森林狼球星唐斯分别当选了东西部最佳球员。

特雷-杨上周带领老鹰取得了2胜0负的战绩，场均36.5分钟贡献了38.5分7.0篮板9.0助攻1.5抢断，命中率58.7%，三分命中率55%。

唐斯上周带领森林狼取得了3胜0负的战绩，场均33.7分钟贡献了 ​",4432697457569886	,2019-10-29-11,2019-10-29,篮球经典,2114103762	
44,半场结束，夏洛特黄蜂队54:57洛杉矶快船队。小格的进步非常明显，组织球队进攻做得非常好，投射也更加稳定。罗奇尔在贝弗利的防守下找不到出手空间甚至运球都艰难，贝弗利的牛皮糖防守还是厉害，德韦恩培根是另一名今天表现糟糕的球员，突破太耿直容易被限制突分也想得太简单。泽勒再次投进三分，篮板 ​,4432697420443495	,2019-10-29-11,2019-10-29,黄蜂球迷俱乐部,6228298576	
45,黄蜂和快船的比赛正在进行中！快船队沙梅特上半场8投6中，其中三分球6投4中拿下16分，伦纳德拿下15分3篮板5助攻，目前快船以57比54领先黄蜂！谁能拿下比赛呢？#NBA比赛日# ​,4432697256236509	,2019-10-29-11,2019-10-29,虎扑篮球,1642292081	
46,啥是羞辱，老师也没教啊，哪位知道？《真不把中国球迷当回事！NBA最新动态，对我们就是巨大的羞辱》自从莫雷发布不当言论后，NBA与中国的关系就变的严峻起来，本来这件事情只是莫雷一个人的错误行为，但是在事情发生后，火箭队以及NBA总裁肖华都公开支持莫雷，这让整个事态升级到NBA的问题，而NBA也为 ​,4432697126545846	,2019-10-29-11,2019-10-29,femuch,6415595880	
47,#火箭战胜雷霆#我真的笑了，那段时间你都在吼不看nba，禁nba吗，现在诶，都在发nba实况，我就想说打不打脸？[拜拜] ​,4432697055754395	,2019-10-29-11,2019-10-29,Hi_feng90,3658143994	
48,#NBA老照片[超话]#三位的火热状态能延续多久呢？！ ​,4432697000614056	,2019-10-29-11,2019-10-29,老崔老车老照片,5299990885	
49,"UED体育： 
. 
. 
. 
. 
. 
. 
http://t.cn/AiYVKGE6的http://t.cn/Ai164NrS 
时光。”叶落在说这段话的时候，五大联赛 还重要。”“比姐妹还重要，那就买球[兔子]app[偷笑][白眼][坏笑] 
西甲 德甲 意甲 法甲 皇马 梅西 篮球比赛 足球比赛 篮球竞技 足球竞技 #利物浦 巴萨 曼城 曼联 尤文图斯# ​",4432696908348516	,2019-10-29-11,2019-10-29,只为你好54,5629741908	
50,"#库里##斯蒂芬库里# 
【今日集锦】Stephen Curry
31分钟26分3板11助3断
投篮17中9 三分10中4 罚球4中4
#nba吐槽大会# http://t.cn/Ai1Wge9u ​",4432696849342948	,2019-10-29-11,2019-10-29,等你进名人堂,6296662921	
51,富尔茨今日集锦来啦！上场27分钟11投6中得到13分2板5助攻，今天又命中一记三分球[嘻嘻]虽然被范乔丹脚踝终结，不过随后富儿子用强硬上篮顶开范乔丹找回些颜面[嘻嘻]连续三场比赛得分上双，儿子继续加油[耶]#富尔茨##NBA吐槽大会# via@马蒂斯赛布尔中文网 http://t.cn/Ai1WggED ​,4432696845129133	,2019-10-29-11,2019-10-29,马克尔-富尔茨中文网,5864149934	
52,#NBA老照片[超话]#历史不能假设，但还是忍不住假设……如果一开始詹姆斯就和鲨鱼在一个队，他们能拿几个冠军呢？！ ​,4432696836723215	,2019-10-29-11,2019-10-29,老崔老车老照片,5299990885	
